WS	ZERO	N	NNE	NE	ENE	E	ESE	SE	SSE	S	SSW	SW	WSW	W	WNW	NW	NNW	SUM	Station
A	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	서울
B	0.0	2.5	5.4	10.7	8.9	2.9	0.9	0.7	0.7	1.0	2.1	2.6	2.9	11.0	14.8	8.1	3.7	78.8	서울
C	0.0	0.1	0.0	0.1	3.3	0.3	0.0	0.0	0.0	0.0	0.3	0.8	1.2	3.7	3.7	3.9	0.8	18.2	서울
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	서울
A	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	인천
B	0.0	6.3	9.5	2.4	1.0	1.5	1.3	3.3	4.3	2.4	1.7	2.8	3.7	3.3	2.0	4.0	7.2	56.9	인천
C	0.0	5.4	5.1	0.9	1.3	1.6	0.2	0.2	0.9	2.7	1.2	1.3	1.2	1.8	1.7	3.8	11.5	40.9	인천
D	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.7	1.2	인천
A	16.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.4	동두천
B	0.0	9.4	12.1	4.4	1.7	1.4	1.5	1.5	2.6	2.3	3.7	5.6	5.1	5.5	5.8	5.6	7.7	76.0	동두천
C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.2	0.8	1.4	1.1	2.2	1.3	0.2	7.5	동두천
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	동두천
A	11.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.9	수원
B	0.0	0.8	0.5	1.4	1.8	5.4	5.5	5.8	4.8	1.8	1.6	2.2	6.6	11.0	10.9	10.0	2.7	73.0	수원
C	0.0	0.0	0.0	0.0	0.2	0.3	0.0	0.0	0.1	0.1	0.2	0.2	1.4	5.2	5.0	2.1	0.2	14.9	수원
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.2	수원
A	36.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.3	원주
B	0.0	2.0	6.2	5.2	1.6	2.7	1.9	0.5	0.8	0.8	2.8	7.6	12.5	6.0	6.3	2.8	1.5	61.4	원주
C	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	1.3	0.4	0.1	0.0	0.0	2.3	원주
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	원주
A	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	강릉
B	0.0	0.8	1.4	2.0	5.2	1.7	1.6	1.2	1.2	2.2	5.9	22.6	12.2	2.7	3.0	3.4	1.3	68.2	강릉
C	0.0	0.2	0.1	0.1	0.2	0.3	0.4	0.0	0.0	0.1	1.6	17.6	6.4	0.7	0.6	1.1	0.3	29.9	강릉
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	강릉
A	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	대전
B	0.0	1.6	1.9	2.7	2.8	1.6	1.8	4.3	5.1	3.2	3.7	9.0	15.7	15.9	6.8	3.1	1.3	80.5	대전
C	0.0	0.1	0.3	0.3	0.0	0.0	0.1	0.4	0.1	0.1	0.0	0.4	1.7	0.9	0.0	0.0	0.0	4.5	대전
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	대전
A	21.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.1	세종
B	0.0	3.7	2.4	3.0	6.5	5.3	1.7	1.9	3.4	3.4	1.8	1.7	2.2	3.8	12.8	13.7	7.3	74.7	세종
C	0.0	0.1	0.0	0.0	0.2	0.1	0.0	0.0	0.1	0.1	0.2	0.0	0.0	0.0	0.8	1.5	1.2	4.3	세종
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	세종
A	24.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.3	청주
B	0.0	1.4	3.4	4.6	1.8	0.8	0.6	1.7	4.0	2.9	1.8	1.3	6.4	15.4	20.9	4.5	0.9	72.5	청주
C	0.0	0.0	0.2	0.2	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.8	1.4	0.0	0.0	3.2	청주
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	청주
A	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	서산
B	0.0	5.1	7.0	9.2	5.7	2.3	1.1	0.5	1.6	3.6	3.4	2.5	2.1	2.2	3.0	4.8	5.5	59.5	서산
C	0.0	0.5	0.1	0.4	0.3	0.0	0.0	0.0	0.0	1.0	1.8	1.5	0.4	1.7	4.1	6.0	2.3	20.2	서산
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.0	0.0	0.3	서산
A	18.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.9	광주
B	0.0	5.4	15.7	15.6	2.7	0.5	0.2	0.4	1.3	1.5	2.7	4.3	7.3	4.9	5.2	4.4	4.2	76.4	광주
C	0.0	0.1	0.9	1.0	0.0	0.0	0.0	0.0	0.1	0.2	0.5	0.6	0.9	0.1	0.2	0.2	0.0	4.7	광주
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	광주
A	9.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.6	전주
B	0.0	3.0	2.0	1.4	0.9	2.2	8.5	13.6	3.2	1.8	1.3	4.6	5.5	7.6	5.8	10.2	8.8	80.5	전주
C	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.9	4.8	1.7	0.7	0.6	9.8	전주
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	전주
A	20.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.2	순천
B	0.0	0.4	0.3	1.0	2.5	3.2	2.7	2.3	2.2	2.5	0.8	1.2	3.7	7.9	11.5	4.7	0.5	47.6	순천
C	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.0	0.7	0.4	0.0	0.0	1.5	4.3	17.1	7.1	0.2	31.8	순천
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.5	순천
A	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3	부산
B	0.0	5.2	4.8	11.6	3.9	3.1	2.0	1.3	1.1	1.0	1.4	1.4	2.6	4.6	4.9	4.9	8.4	62.2	부산
C	0.0	1.1	1.0	4.0	0.9	0.9	0.3	0.1	0.1	0.7	1.5	1.7	4.9	6.7	3.9	1.9	4.0	33.7	부산
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.4	0.6	0.2	0.0	0.0	1.9	부산
A	9.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.4	대구
B	0.0	2.1	2.0	2.7	2.6	2.7	8.7	7.1	2.1	0.9	0.5	0.6	1.9	7.3	10.5	8.8	4.5	65.0	대구
